800,,,,,,
scooping,145,160,,,,
ACCEL,2011-03-17 12:09:07.103,110,218,0.2539063,0.4257813,-1.046875
ACCEL,2011-03-17 12:09:07.123,110,219,0.1367188,0.3320313,-0.8828125
ACCEL,2011-03-17 12:09:07.143,110,220,0.08203125,0.21875,-0.8164063
ACCEL,2011-03-17 12:09:07.163,110,221,-0.0390625,0.1835938,-0.6679688
ACCEL,2011-03-17 12:09:07.183,110,222,-0.21875,0.1445313,-0.484375
ACCEL,2011-03-17 12:09:07.203,110,223,-0.2421875,0.1015625,-0.40625
ACCEL,2011-03-17 12:09:07.219,110,224,-0.28125,0.08203125,-0.3398438
ACCEL,2011-03-17 12:09:07.239,110,225,-0.2226563,0,-0.3710938
ACCEL,2011-03-17 12:09:07.259,110,226,-0.1132813,-0.0625,-0.3945313
ACCEL,2011-03-17 12:09:07.279,110,227,-0.1601563,0.0703125,-0.2734375
ACCEL,2011-03-17 12:09:07.299,110,228,-0.2304688,0.1445313,-0.09765625
ACCEL,2011-03-17 12:09:07.319,110,229,-0.34375,0.1523438,-0.03515625
ACCEL,2011-03-17 12:09:07.339,110,230,-0.4414063,0.1601563,0.1601563
ACCEL,2011-03-17 12:09:07.359,110,231,-0.5429688,0.2929688,0.3867188
ACCEL,2011-03-17 12:09:07.360,110,232,-0.6757813,0.2890625,0.5234375
ACCEL,2011-03-17 12:09:07.380,110,233,-0.8984375,0.3789063,0.90625
ACCEL,2011-03-17 12:09:07.400,110,234,-1.003906,0.4609375,1.148438
ACCEL,2011-03-17 12:09:07.420,110,235,-0.9101563,0.4804688,1.183594
ACCEL,2011-03-17 12:09:07.440,110,236,-0.7851563,0.5585938,1.125
ACCEL,2011-03-17 12:09:07.460,110,237,-0.8710938,0.5703125,1.21875
ACCEL,2011-03-17 12:09:07.480,110,238,-0.9023438,0.5390625,1.292969
ACCEL,2011-03-17 12:09:07.500,110,239,-0.8789063,0.515625,1.25
ACCEL,2011-03-17 12:09:07.531,110,240,-0.859375,0.4921875,1.148438
ACCEL,2011-03-17 12:09:07.551,110,241,-0.8632813,0.421875,1.042969
ACCEL,2011-03-17 12:09:07.571,110,242,-0.7617188,0.328125,0.9375
ACCEL,2011-03-17 12:09:07.591,110,243,-0.6523438,0.2148438,0.7695313
ACCEL,2011-03-17 12:09:07.611,110,244,-0.5625,0.1328125,0.65625
ACCEL,2011-03-17 12:09:07.631,110,245,-0.5859375,0.109375,0.5859375
ACCEL,2011-03-17 12:09:07.651,110,246,-0.59375,0.1484375,0.4492188
ACCEL,2011-03-17 12:09:07.671,110,247,-0.640625,0.1523438,0.2734375
ACCEL,2011-03-17 12:09:07.688,110,248,-0.6875,0.09375,0.1289063
ACCEL,2011-03-17 12:09:07.708,110,249,-0.6367188,-0.01171875,0.06640625
ACCEL,2011-03-17 12:09:07.728,110,250,-0.7109375,-0.08203125,0.1367188
ACCEL,2011-03-17 12:09:07.748,110,251,-0.7617188,-0.00390625,0.08984375
ACCEL,2011-03-17 12:09:07.768,110,252,-0.7539063,0.02734375,-0.08984375
ACCEL,2011-03-17 12:09:07.788,110,253,-0.703125,0.0546875,-0.078125
ACCEL,2011-03-17 12:09:07.808,110,254,-0.5507813,-0.1523438,-0.8828125
ACCEL,2011-03-17 12:09:07.828,110,255,-0.7929688,0,-0.1835938
ACCEL,2011-03-17 12:09:07.840,110,256,-0.7890625,0.2773438,-0.4257813
ACCEL,2011-03-17 12:09:07.860,110,257,-0.671875,0.3671875,-0.6445313
ACCEL,2011-03-17 12:09:07.880,110,258,-0.5898438,0.2773438,-0.7460938
ACCEL,2011-03-17 12:09:07.900,110,259,-0.5625,0.2421875,-0.7148438
ACCEL,2011-03-17 12:09:07.920,110,260,-0.625,0.3359375,-0.6992188
ACCEL,2011-03-17 12:09:07.940,110,261,-0.734375,0.5039063,-0.6640625
ACCEL,2011-03-17 12:09:07.960,110,262,-0.609375,0.5703125,-0.8515625
ACCEL,2011-03-17 12:09:07.980,110,263,-0.4335938,0.53125,-1.035156
ACCEL,2011-03-17 12:09:08.000,110,264,-0.3867188,0.4335938,-1.035156
ACCEL,2011-03-17 12:09:08.020,110,265,-0.546875,0.4726563,-0.8554688
ACCEL,2011-03-17 12:09:08.040,110,266,-0.78125,0.640625,-0.5742188
ACCEL,2011-03-17 12:09:08.060,110,267,-0.1484375,1.136719,-0.6953125
ACCEL,2011-03-17 12:09:08.080,110,268,-0.4648438,0.6875,-1.277344
ACCEL,2011-03-17 12:09:08.100,110,269,-0.609375,0.6171875,-0.9257813
ACCEL,2011-03-17 12:09:08.120,110,270,-0.5742188,0.5234375,-0.7734375
ACCEL,2011-03-17 12:09:08.140,110,271,-0.5429688,0.5546875,-0.8046875
ACCEL,2011-03-17 12:09:08.136,110,272,-0.4570313,0.5195313,-0.8671875
ACCEL,2011-03-17 12:09:08.156,110,273,-0.3320313,0.5078125,-0.9023438
ACCEL,2011-03-17 12:09:08.176,110,274,-0.2226563,0.4921875,-0.9570313
ACCEL,2011-03-17 12:09:08.196,110,275,-0.1171875,0.65625,-1.066406
ACCEL,2011-03-17 12:09:08.216,110,276,0.015625,0.7617188,-1.167969
ACCEL,2011-03-17 12:09:08.236,110,277,0.21875,0.7304688,-1.335938
ACCEL,2011-03-17 12:09:08.256,110,278,0.28125,0.6679688,-1.339844
ACCEL,2011-03-17 12:09:08.276,110,279,0.2851563,0.6054688,-1.265625
ACCEL,2011-03-17 12:09:08.296,110,280,0.2109375,0.5234375,-1.105469
ACCEL,2011-03-17 12:09:08.328,110,281,0.0859375,0.40625,-0.859375
ACCEL,2011-03-17 12:09:08.348,110,282,-0.01953125,0.296875,-0.8046875
ACCEL,2011-03-17 12:09:08.368,110,283,-0.1015625,0.3046875,-0.7929688
ACCEL,2011-03-17 12:09:08.388,110,284,-0.1328125,0.2265625,-0.765625
ACCEL,2011-03-17 12:09:08.408,110,285,-0.1210938,0.125,-0.7226563
ACCEL,2011-03-17 12:09:08.428,110,286,-0.1601563,0.06640625,-0.6445313
ACCEL,2011-03-17 12:09:08.448,110,287,-0.2265625,0.1484375,-0.5429688
ACCEL,2011-03-17 12:09:08.468,110,288,-0.3046875,0.1992188,-0.4882813
ACCEL,2011-03-17 12:09:08.485,110,289,-0.296875,0.09375,-0.4296875
ACCEL,2011-03-17 12:09:08.505,110,290,-0.2304688,0.00390625,-0.375
ACCEL,2011-03-17 12:09:08.525,110,291,-0.2734375,0.09765625,-0.2226563
ACCEL,2011-03-17 12:09:08.545,110,292,-0.4492188,0.2773438,-0.0703125
ACCEL,2011-03-17 12:09:08.565,110,293,-0.421875,0.3945313,1.578125
ACCEL,2011-03-17 12:09:08.585,110,294,-0.7578125,0.1132813,0.46875
ACCEL,2011-03-17 12:09:08.605,110,295,-0.796875,0.28125,0.4335938
ACCEL,2011-03-17 12:09:08.625,110,296,-0.8203125,0.3515625,0.5117188
ACCEL,2011-03-17 12:09:08.641,110,297,-0.7617188,0.453125,0.578125
ACCEL,2011-03-17 12:09:08.661,110,298,-0.7148438,0.5195313,0.8007813
ACCEL,2011-03-17 12:09:08.681,110,299,-0.7226563,0.6484375,0.9765625
ACCEL,2011-03-17 12:09:08.701,110,300,-0.7851563,0.6796875,1.1875
ACCEL,2011-03-17 12:09:08.721,110,301,-0.7929688,0.6953125,1.289063
ACCEL,2011-03-17 12:09:08.741,110,302,-0.7421875,0.625,1.3125
ACCEL,2011-03-17 12:09:08.761,110,303,-0.6679688,0.515625,1.230469
ACCEL,2011-03-17 12:09:08.781,110,304,-0.703125,0.4570313,1.132813
ACCEL,2011-03-17 12:09:08.781,110,305,-0.6445313,0.3867188,0.953125
ACCEL,2011-03-17 12:09:08.801,110,306,-0.4921875,0.2851563,0.71875
ACCEL,2011-03-17 12:09:08.821,110,307,-0.5390625,0.203125,0.5976563
ACCEL,2011-03-17 12:09:08.841,110,308,-0.5976563,0.1445313,0.5117188
ACCEL,2011-03-17 12:09:08.861,110,309,-0.5585938,0.0625,0.4414063
ACCEL,2011-03-17 12:09:08.881,110,310,-0.5859375,0.1054688,0.3320313
ACCEL,2011-03-17 12:09:08.901,110,311,-0.6171875,0.04296875,0.2617188
ACCEL,2011-03-17 12:09:08.921,110,312,-0.7460938,-0.03125,0.3125
ACCEL,2011-03-17 12:09:09.750,110,313,-0.7851563,0.00390625,0.3164063
ACCEL,2011-03-17 12:09:09.770,110,314,-0.7070313,0.00390625,0.2109375
ACCEL,2011-03-17 12:09:09.790,110,315,-0.7070313,-0.0078125,0.08984375
ACCEL,2011-03-17 12:09:09.810,110,316,-0.75,0.0078125,-0.0234375
ACCEL,2011-03-17 12:09:09.830,110,317,-0.7734375,0.0234375,-0.0234375
ACCEL,2011-03-17 12:09:09.850,110,318,-0.7421875,0.1132813,-0.078125
ACCEL,2011-03-17 12:09:09.870,110,319,-0.65625,0.1796875,-0.1328125
ACCEL,2011-03-17 12:09:09.890,110,320,-0.03125,-0.125,-1.097656
ACCEL,2011-03-17 12:09:09.766,110,321,-0.390625,0.3359375,-0.8984375
ACCEL,2011-03-17 12:09:09.786,110,322,-0.3828125,0.390625,-0.78125
ACCEL,2011-03-17 12:09:09.806,110,323,-0.5078125,0.453125,-0.6992188
ACCEL,2011-03-17 12:09:09.826,110,324,-0.5117188,0.625,-0.9296875
ACCEL,2011-03-17 12:09:09.846,110,325,-0.3632813,0.75,-1.125
ACCEL,2011-03-17 12:09:09.866,110,326,-0.203125,0.640625,-1.125
ACCEL,2011-03-17 12:09:09.886,110,327,-0.2148438,0.5976563,-0.9921875
ACCEL,2011-03-17 12:09:09.906,110,328,-0.3242188,0.6601563,-0.9101563
ACCEL,2011-03-17 12:09:09.777,110,329,-0.28125,0.6484375,-0.9648438
ACCEL,2011-03-17 12:09:09.797,110,330,-0.2695313,0.6523438,-0.9453125
ACCEL,2011-03-17 12:09:09.817,110,331,-0.3632813,0.8320313,-0.828125
ACCEL,2011-03-17 12:09:09.837,110,332,-0.2773438,0.640625,-0.7226563
ACCEL,2011-03-17 12:09:09.857,110,333,-0.3398438,0.6328125,-0.7695313
ACCEL,2011-03-17 12:09:09.877,110,334,-0.1601563,0.6015625,-0.9570313
ACCEL,2011-03-17 12:09:09.897,110,335,-0.09375,0.71875,-0.9453125
ACCEL,2011-03-17 12:09:09.917,110,336,-0.0234375,0.8515625,-1.035156
ACCEL,2011-03-17 12:09:09.937,110,337,0.1328125,0.8710938,-1.25
ACCEL,2011-03-17 12:09:09.813,110,338,0.2226563,0.8359375,-1.277344
ACCEL,2011-03-17 12:09:09.833,110,339,0.3398438,0.8359375,-1.230469
ACCEL,2011-03-17 12:09:09.853,110,340,0.2851563,0.7148438,-1.179688
ACCEL,2011-03-17 12:09:09.873,110,341,0.3125,0.5703125,-1.089844
ACCEL,2011-03-17 12:09:09.893,110,342,0.3046875,0.5078125,-1.042969
ACCEL,2011-03-17 12:09:09.913,110,343,0.265625,0.421875,-0.9726563
ACCEL,2011-03-17 12:09:09.933,110,344,0.1367188,0.3867188,-0.8320313
ACCEL,2011-03-17 12:09:09.953,110,345,0.09375,0.3203125,-0.8359375
ACCEL,2011-03-17 12:09:09.864,110,346,0.109375,0.2304688,-0.8671875
ACCEL,2011-03-17 12:09:09.884,110,347,0.1523438,0.2109375,-0.84375
ACCEL,2011-03-17 12:09:09.904,110,348,0.203125,0.1367188,-0.8125
ACCEL,2011-03-17 12:09:09.924,110,349,0.07421875,0.1640625,-0.6015625
ACCEL,2011-03-17 12:09:09.944,110,350,0.01953125,0.1523438,-0.59375
ACCEL,2011-03-17 12:09:09.964,110,351,-0.0234375,0.125,-0.703125
ACCEL,2011-03-17 12:09:09.984,110,352,-0.00390625,0.1132813,-0.6914063
ACCEL,2011-03-17 12:09:09.840,110,353,-0.046875,0.1992188,-0.5117188
ACCEL,2011-03-17 12:09:09.860,110,354,0.0078125,0.4453125,-0.1796875
ACCEL,2011-03-17 12:09:09.880,110,355,-0.4257813,0.3867188,-0.08984375
ACCEL,2011-03-17 12:09:09.900,110,356,-0.34375,0.34375,-0.078125
ACCEL,2011-03-17 12:09:09.920,110,357,-0.4492188,0.5429688,0.4960938
ACCEL,2011-03-17 12:09:09.940,110,358,-0.4921875,0.5039063,0.4335938
ACCEL,2011-03-17 12:09:09.960,110,359,-0.8710938,0.6132813,0.9140625
ACCEL,2011-03-17 12:09:09.980,110,360,-1.007813,0.7265625,0.9726563
ACCEL,2011-03-17 12:09:10.000,110,361,-0.8203125,0.6796875,0.921875
ACCEL,2011-03-17 12:09:09.886,110,362,-0.859375,0.7421875,1.023438
ACCEL,2011-03-17 12:09:09.906,110,363,-0.9453125,0.6914063,1.132813
ACCEL,2011-03-17 12:09:09.926,110,364,-0.8984375,0.6953125,1.109375
ACCEL,2011-03-17 12:09:09.946,110,365,-0.8398438,0.703125,1.074219
ACCEL,2011-03-17 12:09:09.966,110,366,-0.7148438,0.6328125,0.8945313
ACCEL,2011-03-17 12:09:09.986,110,367,-0.6210938,0.609375,0.6914063
ACCEL,2011-03-17 12:09:10.006,110,368,-0.609375,0.5117188,0.546875
ACCEL,2011-03-17 12:09:10.026,110,369,-0.6210938,0.3789063,0.4726563
ACCEL,2011-03-17 12:09:10.046,110,370,-0.5820313,0.2773438,0.4453125
ACCEL,2011-03-17 12:09:10.063,110,371,-0.5820313,0.234375,0.3828125
ACCEL,2011-03-17 12:09:10.083,110,372,-0.6601563,0.2578125,0.2773438
ACCEL,2011-03-17 12:09:10.103,110,373,-0.59375,0.265625,0.1445313
ACCEL,2011-03-17 12:09:10.123,110,374,-0.5039063,0.140625,0.1210938
ACCEL,2011-03-17 12:09:10.143,110,375,-0.65625,0.0859375,0.15625
ACCEL,2011-03-17 12:09:10.163,110,376,-0.8671875,0.1445313,0.2304688
ACCEL,2011-03-17 12:09:10.183,110,377,-0.8515625,0.2148438,0.1171875
ACCEL,2011-03-17 12:09:10.203,110,378,-0.6914063,0.2070313,-0.1015625
ACCEL,2011-03-17 12:09:10.223,110,379,-0.7851563,0.2148438,-0.1523438
ACCEL,2011-03-17 12:09:10.243,110,380,-0.8867188,0.3320313,-0.1054688
ACCEL,2011-03-17 12:09:10.263,110,381,-0.9179688,0.3085938,0
ACCEL,2011-03-17 12:09:10.283,110,382,-0.7304688,0.2460938,-0.01953125
ACCEL,2011-03-17 12:09:10.303,110,383,-0.6210938,0.4296875,-0.1523438
ACCEL,2011-03-17 12:09:10.323,110,384,-0.5273438,0.4882813,-0.1171875
ACCEL,2011-03-17 12:09:10.343,110,385,-0.390625,0.2148438,-0.6171875
ACCEL,2011-03-17 12:09:10.360,110,386,-0.296875,0.2695313,-0.828125
ACCEL,2011-03-17 12:09:10.380,110,387,-0.296875,0.234375,-0.9023438
ACCEL,2011-03-17 12:09:10.400,110,388,-0.40625,0.1367188,-0.8359375
ACCEL,2011-03-17 12:09:10.420,110,389,-0.5976563,0.140625,-0.7539063
ACCEL,2011-03-17 12:09:10.440,110,390,-0.6367188,0.1757813,-0.8085938
ACCEL,2011-03-17 12:09:10.460,110,391,-0.5664063,0.1210938,-0.890625
ACCEL,2011-03-17 12:09:10.480,110,392,-0.5195313,0.015625,-0.8125
ACCEL,2011-03-17 12:09:10.500,110,393,-0.609375,0.00390625,-0.703125
ACCEL,2011-03-17 12:09:10.500,110,394,-0.6367188,0.05078125,-0.7695313
ACCEL,2011-03-17 12:09:10.520,110,395,-0.5546875,0.0078125,-1.03125
ACCEL,2011-03-17 12:09:10.540,110,396,-0.609375,-0.00390625,-0.9960938
ACCEL,2011-03-17 12:09:10.560,110,397,-0.7578125,0.05078125,-0.8515625
ACCEL,2011-03-17 12:09:10.580,110,398,-0.78125,0.04296875,-0.8710938
ACCEL,2011-03-17 12:09:10.600,110,399,-0.7539063,0.06640625,-0.9765625
ACCEL,2011-03-17 12:09:10.620,110,400,-0.6328125,0.109375,-1.132813
ACCEL,2011-03-17 12:09:10.640,110,401,-0.5351563,0.09375,-1.171875
ACCEL,2011-03-17 12:09:10.672,110,402,-0.5390625,0.0390625,-1.0625
ACCEL,2011-03-17 12:09:10.692,110,403,-0.625,0.05078125,-0.9492188
ACCEL,2011-03-17 12:09:10.712,110,404,-0.6367188,0.0546875,-0.9375
ACCEL,2011-03-17 12:09:10.732,110,405,-0.5585938,0.109375,-1.035156
ACCEL,2011-03-17 12:09:10.752,110,406,-0.421875,0.05859375,-1.042969
ACCEL,2011-03-17 12:09:10.772,110,407,-0.4570313,0.02734375,-0.9335938
ACCEL,2011-03-17 12:09:10.792,110,408,-0.5429688,0.01953125,-0.859375
ACCEL,2011-03-17 12:09:10.812,110,409,-0.6054688,0.01171875,-0.8671875
ACCEL,2011-03-17 12:09:10.824,110,410,-0.5742188,0.0390625,-0.921875
ACCEL,2011-03-17 12:09:10.844,110,411,-0.5273438,0.109375,-0.9960938
ACCEL,2011-03-17 12:09:10.864,110,412,-0.5507813,0.1210938,-1
ACCEL,2011-03-17 12:09:10.884,110,413,-0.5898438,0.2265625,-1.085938
ACCEL,2011-03-17 12:09:10.904,110,414,-0.5507813,0.3359375,-1.289063
ACCEL,2011-03-17 12:09:10.924,110,415,-0.4140625,0.3085938,-1.484375
ACCEL,2011-03-17 12:09:10.944,110,416,-0.265625,0.21875,-1.503906
ACCEL,2011-03-17 12:09:10.964,110,417,-0.1523438,0.1367188,-1.425781
ACCEL,2011-03-17 12:09:10.984,110,418,-0.08203125,0.1171875,-1.453125
ACCEL,2011-03-17 12:09:11.000,110,419,-0.01171875,0.08203125,-1.460938
ACCEL,2011-03-17 12:09:11.020,110,420,-0.015625,0.0546875,-1.351563
ACCEL,2011-03-17 12:09:11.040,110,421,-0.00390625,0.03125,-1.21875
ACCEL,2011-03-17 12:09:11.060,110,422,0.0234375,0.015625,-1.105469
ACCEL,2011-03-17 12:09:11.080,110,423,-0.0546875,0.00390625,-0.9335938
ACCEL,2011-03-17 12:09:11.100,110,424,-0.1015625,0,-0.7070313
ACCEL,2011-03-17 12:09:11.120,110,425,-0.1328125,0.01171875,-0.4179688
ACCEL,2011-03-17 12:09:11.140,110,426,-0.140625,-0.02734375,-0.1640625
ACCEL,2011-03-17 12:09:11.152,110,427,-0.140625,-0.03125,-0.046875
ACCEL,2011-03-17 12:09:11.172,110,428,-0.1289063,0.03515625,-0.0390625
ACCEL,2011-03-17 12:09:11.192,110,429,-0.28125,0.02734375,0.1640625
ACCEL,2011-03-17 12:09:11.212,110,430,-0.2929688,0.05078125,0.3164063
ACCEL,2011-03-17 12:09:11.232,110,431,-0.3867188,0.0625,0.4921875
ACCEL,2011-03-17 12:09:11.252,110,432,-0.46875,0.125,0.7421875
ACCEL,2011-03-17 12:09:11.272,110,433,-0.5390625,0.1210938,0.9726563
ACCEL,2011-03-17 12:09:11.292,110,434,-0.578125,0.1171875,1.203125
ACCEL,2011-03-17 12:09:11.312,110,435,-0.59375,0.05859375,1.34375
ACCEL,2011-03-17 12:09:11.328,110,436,-0.59375,0.0703125,1.433594
ACCEL,2011-03-17 12:09:11.348,110,437,-0.5742188,0.0859375,1.515625
ACCEL,2011-03-17 12:09:11.368,110,438,-0.59375,0.05078125,1.457031
ACCEL,2011-03-17 12:09:11.388,110,439,-0.5664063,0.0234375,1.351563
ACCEL,2011-03-17 12:09:11.408,110,440,-0.5976563,0.015625,1.269531
ACCEL,2011-03-17 12:09:11.428,110,441,-0.640625,0.0078125,1.234375
ACCEL,2011-03-17 12:09:11.448,110,442,-0.6445313,-0.046875,1.160156
ACCEL,2011-03-17 12:09:11.468,110,443,-0.625,-0.0859375,1.015625
ACCEL,2011-03-17 12:09:11.496,110,444,-0.5859375,-0.1132813,0.7773438
ACCEL,2011-03-17 12:09:11.516,110,445,-0.5820313,-0.1796875,0.578125
ACCEL,2011-03-17 12:09:11.536,110,446,-0.6484375,-0.171875,0.5390625
ACCEL,2011-03-17 12:09:11.556,110,447,-0.6054688,-0.1835938,0.4101563
ACCEL,2011-03-17 12:09:11.576,110,448,-0.5898438,-0.1875,0.0234375
ACCEL,2011-03-17 12:09:11.596,110,449,-0.6953125,-0.109375,-0.1171875
ACCEL,2011-03-17 12:09:11.616,110,450,-0.7148438,-0.1523438,-0.046875
ACCEL,2011-03-17 12:09:11.636,110,451,-0.6757813,-0.171875,-0.0234375
