800,,,,,,
slicing,70,90,,,,
ACCEL,2011-03-17 10:21:12.730,107,350,0.6914063,0.6289063,0.3164063
ACCEL,2011-03-17 10:21:12.750,107,351,0.7929688,0.6445313,0.3164063
ACCEL,2011-03-17 10:21:12.766,107,352,0.8359375,0.5859375,0.3359375
ACCEL,2011-03-17 10:21:12.786,107,353,0.7695313,0.5078125,0.3789063
ACCEL,2011-03-17 10:21:12.806,107,354,0.6914063,0.5234375,0.2539063
ACCEL,2011-03-17 10:21:12.826,107,355,0.703125,0.5820313,0.1484375
ACCEL,2011-03-17 10:21:12.846,107,356,0.671875,0.6015625,0.1523438
ACCEL,2011-03-17 10:21:12.866,107,357,0.59375,0.6328125,0.1796875
ACCEL,2011-03-17 10:21:12.886,107,358,0.625,1.433594,0.2460938
ACCEL,2011-03-17 10:21:12.906,107,359,0.9492188,0.4882813,0.3671875
ACCEL,2011-03-17 10:21:12.922,107,360,1.027344,0.7304688,0.40625
ACCEL,2011-03-17 10:21:12.942,107,361,0.9101563,0.921875,0.25
ACCEL,2011-03-17 10:21:12.962,107,362,0.6367188,0.6445313,0.4257813
ACCEL,2011-03-17 10:21:12.982,107,363,0.8984375,0.5625,0.15625
ACCEL,2011-03-17 10:21:13.002,107,364,0.7890625,0.5507813,0.2070313
ACCEL,2011-03-17 10:21:13.022,107,365,0.7851563,0.5,0.15625
ACCEL,2011-03-17 10:21:13.042,107,366,0.7695313,0.5078125,0.2578125
ACCEL,2011-03-17 10:21:13.062,107,367,0.8085938,0.578125,0.2851563
ACCEL,2011-03-17 10:21:13.078,107,368,0.90625,0.6054688,0.2734375
ACCEL,2011-03-17 10:21:13.098,107,369,0.8515625,0.6289063,0.3828125
ACCEL,2011-03-17 10:21:13.118,107,370,0.9726563,0.6289063,0.4648438
ACCEL,2011-03-17 10:21:13.138,107,371,0.8632813,0.5859375,0.4296875
ACCEL,2011-03-17 10:21:13.158,107,372,0.7929688,0.6992188,0.28125
ACCEL,2011-03-17 10:21:13.178,107,373,0.7734375,0.5117188,0.2304688
ACCEL,2011-03-17 10:21:13.198,107,374,0.9726563,0.4726563,0.1796875
ACCEL,2011-03-17 10:21:13.218,107,375,0.7421875,0.484375,0.2148438
ACCEL,2011-03-17 10:21:13.250,107,376,0.734375,0.6210938,0.2773438
ACCEL,2011-03-17 10:21:13.270,107,377,0.7265625,0.4140625,0.2617188
ACCEL,2011-03-17 10:21:13.290,107,378,0.671875,0.4023438,0.1835938
ACCEL,2011-03-17 10:21:13.310,107,379,0.9726563,0.5234375,0.15625
ACCEL,2011-03-17 10:21:13.330,107,380,0.9140625,0.5234375,0.28125
ACCEL,2011-03-17 10:21:13.350,107,381,0.8398438,0.4375,0.28125
ACCEL,2011-03-17 10:21:13.370,107,382,0.90625,0.5,0.3164063
ACCEL,2011-03-17 10:21:13.390,107,383,1.007813,0.3359375,0.2070313
ACCEL,2011-03-17 10:21:13.422,107,384,0.984375,0.4257813,0.1171875
ACCEL,2011-03-17 10:21:13.442,107,385,0.9921875,0.2148438,0.2890625
ACCEL,2011-03-17 10:21:13.462,107,386,1.050781,0.2539063,0.2734375
ACCEL,2011-03-17 10:21:13.482,107,387,1.011719,0.2617188,0.34375
ACCEL,2011-03-17 10:21:13.502,107,388,1.09375,0.2460938,0.3789063
ACCEL,2011-03-17 10:21:13.522,107,389,1.242188,0.2265625,0.3554688
ACCEL,2011-03-17 10:21:13.542,107,390,1.210938,0.2109375,0.3671875
ACCEL,2011-03-17 10:21:13.562,107,391,1.136719,0.2226563,0.3671875
ACCEL,2011-03-17 10:21:13.558,107,392,1.066406,0.2421875,0.3203125
ACCEL,2011-03-17 10:21:13.578,107,393,1.015625,0.2539063,0.2890625
ACCEL,2011-03-17 10:21:13.598,107,394,0.9570313,0.2460938,0.2617188
ACCEL,2011-03-17 10:21:13.618,107,395,0.9726563,0.2460938,0.2578125
ACCEL,2011-03-17 10:21:13.638,107,396,0.9296875,0.2773438,0.2617188
ACCEL,2011-03-17 10:21:13.658,107,397,0.8359375,0.3242188,0.2460938
ACCEL,2011-03-17 10:21:13.678,107,398,0.7578125,0.359375,0.171875
ACCEL,2011-03-17 10:21:13.698,107,399,0.6953125,0.4140625,0.0859375
ACCEL,2011-03-17 10:21:13.718,107,400,0.75,0.421875,0.1054688
ACCEL,2011-03-17 10:21:13.750,107,401,0.7773438,0.4570313,0.1640625
ACCEL,2011-03-17 10:21:13.770,107,402,0.7421875,0.4960938,0.21875
ACCEL,2011-03-17 10:21:13.790,107,403,0.7109375,0.5390625,0.2304688
ACCEL,2011-03-17 10:21:13.810,107,404,0.6679688,0.59375,0.1679688
ACCEL,2011-03-17 10:21:13.830,107,405,0.6601563,0.6171875,0.1367188
ACCEL,2011-03-17 10:21:13.850,107,406,0.703125,0.6367188,0.1210938
ACCEL,2011-03-17 10:21:13.870,107,407,0.71875,0.65625,0.171875
ACCEL,2011-03-17 10:21:13.890,107,408,0.7226563,0.703125,0.1914063
ACCEL,2011-03-17 10:21:13.906,107,409,0.7148438,0.7460938,0.171875
ACCEL,2011-03-17 10:21:13.926,107,410,0.7070313,0.7617188,0.1757813
ACCEL,2011-03-17 10:21:13.946,107,411,0.7226563,0.7773438,0.1796875
ACCEL,2011-03-17 10:21:13.966,107,412,0.734375,0.7617188,0.1992188
ACCEL,2011-03-17 10:21:13.986,107,413,1.128906,0.6210938,0.1875
ACCEL,2011-03-17 10:21:14.006,107,414,0.9570313,0.6953125,0.1992188
ACCEL,2011-03-17 10:21:14.026,107,415,0.7539063,0.8359375,0.1992188
ACCEL,2011-03-17 10:21:14.046,107,416,0.84375,0.6601563,0.2851563
ACCEL,2011-03-17 10:21:14.063,107,417,0.84375,0.6484375,0.1914063
ACCEL,2011-03-17 10:21:14.083,107,418,0.7851563,0.6835938,0.171875
ACCEL,2011-03-17 10:21:14.103,107,419,0.7734375,0.625,0.08203125
ACCEL,2011-03-17 10:21:14.123,107,420,0.6132813,0.6601563,0.0234375
ACCEL,2011-03-17 10:21:14.143,107,421,0.796875,0.5390625,0.1875
ACCEL,2011-03-17 10:21:14.163,107,422,0.8203125,0.625,0.2265625
ACCEL,2011-03-17 10:21:14.183,107,423,0.7695313,0.6210938,0.2382813
ACCEL,2011-03-17 10:21:14.203,107,424,0.9609375,0.6757813,0.2929688
ACCEL,2011-03-17 10:21:14.223,107,425,0.6210938,0.6523438,0.08203125
ACCEL,2011-03-17 10:21:14.243,107,426,0.7890625,0.5898438,0.1484375
ACCEL,2011-03-17 10:21:14.263,107,427,0.8242188,0.5546875,0.1679688
ACCEL,2011-03-17 10:21:14.283,107,428,0.6367188,0.6054688,0.2539063
ACCEL,2011-03-17 10:21:14.303,107,429,0.8085938,0.6679688,0.2578125
ACCEL,2011-03-17 10:21:14.323,107,430,0.6796875,0.6210938,0.1875
ACCEL,2011-03-17 10:21:14.343,107,431,0.828125,0.546875,0.2148438
ACCEL,2011-03-17 10:21:14.375,107,432,0.84375,0.5625,0.1757813
ACCEL,2011-03-17 10:21:14.395,107,433,0.96875,0.5117188,0.3710938
ACCEL,2011-03-17 10:21:14.415,107,434,0.90625,0.4609375,0.3398438
ACCEL,2011-03-17 10:21:14.435,107,435,0.78125,0.4921875,0.1796875
ACCEL,2011-03-17 10:21:14.455,107,436,0.9492188,0.421875,0.2226563
ACCEL,2011-03-17 10:21:14.475,107,437,1.054688,0.328125,0.1054688
ACCEL,2011-03-17 10:21:14.495,107,438,1.050781,0.328125,0.2265625
ACCEL,2011-03-17 10:21:14.515,107,439,1.054688,0.3359375,0.359375
ACCEL,2011-03-17 10:21:14.536,107,440,1.128906,0.328125,0.2734375
ACCEL,2011-03-17 10:21:14.556,107,441,1.179688,0.2539063,0.3359375
ACCEL,2011-03-17 10:21:14.576,107,442,1.144531,0.2617188,0.3046875
ACCEL,2011-03-17 10:21:14.596,107,443,1.042969,0.2617188,0.375
ACCEL,2011-03-17 10:21:14.616,107,444,0.953125,0.2734375,0.4140625
ACCEL,2011-03-17 10:21:14.636,107,445,0.8984375,0.265625,0.3710938
ACCEL,2011-03-17 10:21:14.656,107,446,0.8984375,0.28125,0.3242188
ACCEL,2011-03-17 10:21:14.672,107,447,0.9296875,0.3007813,0.2929688
ACCEL,2011-03-17 10:21:14.692,107,448,0.9179688,0.34375,0.2578125
ACCEL,2011-03-17 10:21:14.712,107,449,0.859375,0.375,0.2421875
ACCEL,2011-03-17 10:21:14.732,107,450,0.765625,0.4296875,0.2539063
ACCEL,2011-03-17 10:21:14.752,107,451,0.6914063,0.4960938,0.2460938
ACCEL,2011-03-17 10:21:14.772,107,452,0.6875,0.5625,0.2539063
ACCEL,2011-03-17 10:21:14.792,107,453,0.7421875,0.6289063,0.2460938
ACCEL,2011-03-17 10:21:14.812,107,454,0.7460938,0.6835938,0.2109375
ACCEL,2011-03-17 10:21:14.848,107,455,0.6757813,0.7265625,0.1914063
ACCEL,2011-03-17 10:21:14.868,107,456,0.6054688,0.75,0.1796875
ACCEL,2011-03-17 10:21:14.888,107,457,0.5546875,0.8085938,0.1015625
ACCEL,2011-03-17 10:21:14.908,107,458,0.5234375,0.8398438,0.06640625
ACCEL,2011-03-17 10:21:14.928,107,459,0.59375,0.8359375,0.125
ACCEL,2011-03-17 10:21:14.948,107,460,0.6445313,0.8242188,0.1523438
ACCEL,2011-03-17 10:21:14.968,107,461,0.6210938,0.8476563,0.09765625
ACCEL,2011-03-17 10:21:14.985,107,462,0.5820313,0.8554688,0.0546875
ACCEL,2011-03-17 10:21:15.005,107,463,0.5742188,0.8554688,0.04296875
ACCEL,2011-03-17 10:21:15.025,107,464,1.019531,0.6445313,0.05078125
ACCEL,2011-03-17 10:21:15.045,107,465,0.875,0.8320313,0.1210938
ACCEL,2011-03-17 10:21:15.065,107,466,0.6757813,0.8007813,0.1679688
ACCEL,2011-03-17 10:21:15.085,107,467,0.8671875,0.84375,0.1289063
ACCEL,2011-03-17 10:21:15.105,107,468,0.8046875,0.7539063,0.1328125
ACCEL,2011-03-17 10:21:15.125,107,469,0.7070313,0.671875,0.109375
ACCEL,2011-03-17 10:21:15.141,107,470,0.640625,0.7539063,0.1015625
ACCEL,2011-03-17 10:21:15.161,107,471,0.71875,0.6132813,-0.0078125
ACCEL,2011-03-17 10:21:15.181,107,472,0.8554688,0.6953125,0.25
ACCEL,2011-03-17 10:21:15.201,107,473,0.8007813,0.703125,0.1835938
ACCEL,2011-03-17 10:21:15.221,107,474,0.5703125,0.7265625,0.1523438
ACCEL,2011-03-17 10:21:15.241,107,475,0.6953125,0.7460938,0.1914063
ACCEL,2011-03-17 10:21:15.261,107,476,0.6835938,0.671875,0.1875
ACCEL,2011-03-17 10:21:15.281,107,477,0.6914063,0.671875,0.1328125
ACCEL,2011-03-17 10:21:15.301,107,478,0.6445313,0.5703125,0.06640625
ACCEL,2011-03-17 10:21:15.321,107,479,0.7070313,0.6132813,0.1054688
ACCEL,2011-03-17 10:21:15.341,107,480,0.921875,0.5859375,0.203125
ACCEL,2011-03-17 10:21:15.361,107,481,0.8398438,0.5390625,0.1132813
ACCEL,2011-03-17 10:21:15.381,107,482,0.7460938,0.53125,0.2421875
ACCEL,2011-03-17 10:21:15.401,107,483,0.828125,0.5117188,0.125
ACCEL,2011-03-17 10:21:15.421,107,484,0.8554688,0.5,0.05859375
ACCEL,2011-03-17 10:21:15.442,107,485,0.7890625,0.4570313,0.1601563
ACCEL,2011-03-17 10:21:15.462,107,486,0.8710938,0.4570313,0.234375
ACCEL,2011-03-17 10:21:15.482,107,487,0.8398438,0.4453125,0.2382813
ACCEL,2011-03-17 10:21:15.502,107,488,0.8671875,0.5664063,0.125
ACCEL,2011-03-17 10:21:15.522,107,489,0.921875,0.5039063,0.2929688
ACCEL,2011-03-17 10:21:15.542,107,490,0.8828125,0.4414063,0.2578125
ACCEL,2011-03-17 10:21:15.562,107,491,0.9257813,0.4179688,0.1601563
ACCEL,2011-03-17 10:21:15.598,107,492,0.984375,0.3671875,0.1953125
ACCEL,2011-03-17 10:21:15.618,107,493,0.984375,0.3632813,0.2460938
ACCEL,2011-03-17 10:21:15.638,107,494,0.9765625,0.3203125,0.2929688
ACCEL,2011-03-17 10:21:15.658,107,495,0.9375,0.3515625,0.3046875
ACCEL,2011-03-17 10:21:15.678,107,496,1.046875,0.3125,0.3007813
ACCEL,2011-03-17 10:21:15.698,107,497,1.03125,0.328125,0.2421875
ACCEL,2011-03-17 10:21:15.718,107,498,0.9804688,0.3632813,0.2460938
ACCEL,2011-03-17 10:21:15.719,107,499,0.9414063,0.3632813,0.2734375
ACCEL,2011-03-17 10:21:15.739,107,500,0.921875,0.3476563,0.265625
ACCEL,2011-03-17 10:21:15.759,107,501,0.9375,0.3242188,0.2265625
ACCEL,2011-03-17 10:21:15.779,107,502,0.9921875,0.28125,0.2109375
ACCEL,2011-03-17 10:21:15.799,107,503,0.9570313,0.2851563,0.2265625
ACCEL,2011-03-17 10:21:15.819,107,504,0.8476563,0.34375,0.1992188
ACCEL,2011-03-17 10:21:15.839,107,505,0.7695313,0.3632813,0.2421875
ACCEL,2011-03-17 10:21:15.859,107,506,0.8125,0.375,0.2773438
ACCEL,2011-03-17 10:21:15.875,107,507,0.8984375,0.4140625,0.2578125
ACCEL,2011-03-17 10:21:15.895,107,508,0.9492188,0.4648438,0.2265625
ACCEL,2011-03-17 10:21:15.915,107,509,0.9179688,0.515625,0.2226563
ACCEL,2011-03-17 10:21:15.935,107,510,0.828125,0.5195313,0.265625
ACCEL,2011-03-17 10:21:15.955,107,511,0.7578125,0.5390625,0.3203125
ACCEL,2011-03-17 10:21:15.975,107,512,0.7226563,0.5429688,0.3203125
ACCEL,2011-03-17 10:21:15.995,107,513,0.7382813,0.6132813,0.2070313
ACCEL,2011-03-17 10:21:16.015,107,514,0.7773438,0.609375,0.2070313
ACCEL,2011-03-17 10:21:16.051,107,515,0.7773438,0.5898438,0.2382813
ACCEL,2011-03-17 10:21:16.071,107,516,0.7773438,0.609375,0.2304688
ACCEL,2011-03-17 10:21:16.091,107,517,0.7929688,0.6171875,0.2421875
ACCEL,2011-03-17 10:21:16.111,107,518,0.7890625,0.6523438,0.21875
ACCEL,2011-03-17 10:21:16.131,107,519,0.796875,0.6757813,0.171875
ACCEL,2011-03-17 10:21:16.151,107,520,0.8046875,0.6640625,0.1328125
ACCEL,2011-03-17 10:21:16.171,107,521,1.0625,0.6054688,0.21875
ACCEL,2011-03-17 10:21:16.188,107,522,1.042969,0.5703125,0.08984375
ACCEL,2011-03-17 10:21:16.208,107,523,0.8554688,0.6523438,0.09765625
ACCEL,2011-03-17 10:21:16.228,107,524,0.8554688,0.5546875,0.1132813
ACCEL,2011-03-17 10:21:16.248,107,525,0.9179688,0.5351563,0.15625
ACCEL,2011-03-17 10:21:16.268,107,526,0.90625,0.4804688,0.2109375
ACCEL,2011-03-17 10:21:16.288,107,527,0.8789063,0.4882813,0.1210938
ACCEL,2011-03-17 10:21:16.308,107,528,0.9492188,0.5546875,0.1289063
ACCEL,2011-03-17 10:21:16.328,107,529,0.859375,0.4960938,0.15625
ACCEL,2011-03-17 10:21:16.360,107,530,0.9570313,0.4492188,0.2382813
ACCEL,2011-03-17 10:21:16.380,107,531,0.8828125,0.5195313,0.1875
ACCEL,2011-03-17 10:21:16.400,107,532,0.9921875,0.3867188,0.1757813
ACCEL,2011-03-17 10:21:16.420,107,533,0.9453125,0.3515625,0.2460938
ACCEL,2011-03-17 10:21:16.440,107,534,0.828125,0.4765625,0.3007813
ACCEL,2011-03-17 10:21:16.460,107,535,0.8515625,0.3046875,0.3125
ACCEL,2011-03-17 10:21:16.480,107,536,0.9296875,0.3945313,0.2265625
ACCEL,2011-03-17 10:21:16.500,107,537,0.90625,0.4335938,0.1445313
ACCEL,2011-03-17 10:21:16.511,107,538,0.9882813,0.2460938,0.1992188
ACCEL,2011-03-17 10:21:16.531,107,539,0.921875,0.4023438,0.25
ACCEL,2011-03-17 10:21:16.551,107,540,1.023438,0.2695313,0.3085938
ACCEL,2011-03-17 10:21:16.571,107,541,0.9375,0.2617188,0.21875
ACCEL,2011-03-17 10:21:16.591,107,542,1,0.2773438,0.2460938
ACCEL,2011-03-17 10:21:16.611,107,543,0.96875,0.2539063,0.2539063
ACCEL,2011-03-17 10:21:16.631,107,544,0.90625,0.2109375,0.1796875
ACCEL,2011-03-17 10:21:16.651,107,545,0.9453125,0.1796875,0.3164063
ACCEL,2011-03-17 10:21:16.671,107,546,1.050781,0.04296875,0.3398438
ACCEL,2011-03-17 10:21:16.692,107,547,1.054688,0.08203125,0.28125
ACCEL,2011-03-17 10:21:16.712,107,548,1.078125,0.0078125,0.3046875
ACCEL,2011-03-17 10:21:16.732,107,549,1.050781,0.0625,0.3164063
ACCEL,2011-03-17 10:21:16.752,107,550,1.058594,0.06640625,0.265625
ACCEL,2011-03-17 10:21:16.772,107,551,1.058594,-0.0234375,0.4335938
ACCEL,2011-03-17 10:21:16.792,107,552,0.9882813,0.046875,0.4023438
ACCEL,2011-03-17 10:21:16.812,107,553,1.019531,-0.0703125,0.34375
ACCEL,2011-03-17 10:21:16.828,107,554,0.9960938,0,0.3710938
ACCEL,2011-03-17 10:21:16.848,107,555,0.9765625,0.01953125,0.359375
ACCEL,2011-03-17 10:21:16.868,107,556,0.9882813,0.0234375,0.3710938
ACCEL,2011-03-17 10:21:16.888,107,557,0.984375,0.0546875,0.3828125
ACCEL,2011-03-17 10:21:16.908,107,558,0.9492188,0.1015625,0.3671875
ACCEL,2011-03-17 10:21:16.928,107,559,0.921875,0.15625,0.3359375
ACCEL,2011-03-17 10:21:16.948,107,560,0.8710938,0.21875,0.2773438
ACCEL,2011-03-17 10:21:16.968,107,561,0.828125,0.25,0.2421875
ACCEL,2011-03-17 10:21:16.996,107,562,0.859375,0.2851563,0.1835938
ACCEL,2011-03-17 10:21:17.016,107,563,0.8828125,0.3320313,0.1757813
ACCEL,2011-03-17 10:21:17.036,107,564,0.8828125,0.3867188,0.1601563
ACCEL,2011-03-17 10:21:17.056,107,565,0.8710938,0.4179688,0.1835938
ACCEL,2011-03-17 10:21:17.076,107,566,0.9101563,0.4335938,0.2460938
ACCEL,2011-03-17 10:21:17.096,107,567,0.9023438,0.4257813,0.2929688
ACCEL,2011-03-17 10:21:17.116,107,568,0.890625,0.3984375,0.3203125
ACCEL,2011-03-17 10:21:17.136,107,569,0.9296875,0.4101563,0.28125
ACCEL,2011-03-17 10:21:17.156,107,570,0.96875,0.4335938,0.234375
ACCEL,2011-03-17 10:21:17.176,107,571,0.9179688,0.4414063,0.25
ACCEL,2011-03-17 10:21:17.196,107,572,0.8671875,0.4609375,0.234375
ACCEL,2011-03-17 10:21:17.216,107,573,0.8554688,0.4921875,0.1875
ACCEL,2011-03-17 10:21:17.236,107,574,0.8828125,0.4921875,0.1640625
ACCEL,2011-03-17 10:21:17.256,107,575,0.9492188,0.4804688,0.1445313
ACCEL,2011-03-17 10:21:17.276,107,576,0.9257813,0.4570313,0.1796875
ACCEL,2011-03-17 10:21:17.296,107,577,0.875,0.453125,0.2304688
ACCEL,2011-03-17 10:21:17.308,107,578,1.257813,0.375,0.359375
ACCEL,2011-03-17 10:21:17.328,107,579,0.9765625,0.3085938,0.2890625
ACCEL,2011-03-17 10:21:17.348,107,580,1.054688,0.3828125,0.2226563
ACCEL,2011-03-17 10:21:17.368,107,581,1.015625,0.3710938,0.234375
ACCEL,2011-03-17 10:21:17.388,107,582,1.042969,0.3359375,0.2421875
ACCEL,2011-03-17 10:21:17.408,107,583,0.9257813,0.3671875,0.2148438
ACCEL,2011-03-17 10:21:17.428,107,584,0.890625,0.3398438,0.2109375
ACCEL,2011-03-17 10:21:17.448,107,585,0.9296875,0.3007813,0.1914063
ACCEL,2011-03-17 10:21:17.468,107,586,0.9726563,0.3867188,0.1835938
ACCEL,2011-03-17 10:21:17.500,107,587,1.042969,0.3398438,0.2539063
ACCEL,2011-03-17 10:21:17.520,107,588,1.03125,0.2226563,0.28125
ACCEL,2011-03-17 10:21:17.540,107,589,0.9140625,0.2929688,0.2773438
ACCEL,2011-03-17 10:21:17.560,107,590,0.9726563,0.3203125,0.2695313
ACCEL,2011-03-17 10:21:17.580,107,591,0.9804688,0.359375,0.2382813
ACCEL,2011-03-17 10:21:17.600,107,592,0.9296875,0.359375,0.265625
ACCEL,2011-03-17 10:21:17.620,107,593,0.890625,0.25,0.2929688
ACCEL,2011-03-17 10:21:17.640,107,594,0.9726563,0.2929688,0.2539063
ACCEL,2011-03-17 10:21:17.652,107,595,0.9609375,0.21875,0.3125
ACCEL,2011-03-17 10:21:17.672,107,596,1.035156,0.2851563,0.2539063
ACCEL,2011-03-17 10:21:17.692,107,597,1.011719,0.234375,0.2539063
ACCEL,2011-03-17 10:21:17.712,107,598,1,0.1953125,0.2226563
ACCEL,2011-03-17 10:21:17.732,107,599,0.9960938,0.08203125,0.2890625
ACCEL,2011-03-17 10:21:17.752,107,600,1.035156,0.0234375,0.2539063
ACCEL,2011-03-17 10:21:17.772,107,601,1.015625,0.04296875,0.3671875
ACCEL,2011-03-17 10:21:17.792,107,602,1.097656,-0.01171875,0.2539063
ACCEL,2011-03-17 10:21:17.812,107,603,1.039063,0.02734375,0.2773438
ACCEL,2011-03-17 10:21:17.848,107,604,1.007813,0.03125,0.3007813
ACCEL,2011-03-17 10:21:17.868,107,605,1,0.02734375,0.3007813
ACCEL,2011-03-17 10:21:17.888,107,606,1.011719,0.00390625,0.3476563
ACCEL,2011-03-17 10:21:17.908,107,607,1.058594,0.0234375,0.3164063
ACCEL,2011-03-17 10:21:17.928,107,608,1.023438,0.03125,0.3320313
ACCEL,2011-03-17 10:21:17.948,107,609,1.011719,0.015625,0.34375
ACCEL,2011-03-17 10:21:17.968,107,610,1.019531,0.00390625,0.3203125
ACCEL,2011-03-17 10:21:17.985,107,611,1.003906,0.01953125,0.3125
ACCEL,2011-03-17 10:21:18.005,107,612,0.984375,0.0390625,0.3359375
ACCEL,2011-03-17 10:21:18.025,107,613,0.9804688,0.05859375,0.3515625
ACCEL,2011-03-17 10:21:18.045,107,614,0.984375,0.08984375,0.3007813
ACCEL,2011-03-17 10:21:18.065,107,615,0.9492188,0.1367188,0.2617188
ACCEL,2011-03-17 10:21:18.085,107,616,0.9140625,0.1914063,0.2109375
ACCEL,2011-03-17 10:21:18.105,107,617,0.8828125,0.234375,0.1757813
ACCEL,2011-03-17 10:21:18.125,107,618,0.9414063,0.2695313,0.1953125
ACCEL,2011-03-17 10:21:18.136,107,619,0.9921875,0.3007813,0.234375
ACCEL,2011-03-17 10:21:18.156,107,620,0.9804688,0.3320313,0.296875
ACCEL,2011-03-17 10:21:18.176,107,621,0.9296875,0.40625,0.3046875
ACCEL,2011-03-17 10:21:18.196,107,622,0.859375,0.453125,0.2890625
ACCEL,2011-03-17 10:21:18.216,107,623,0.8515625,0.453125,0.2734375
ACCEL,2011-03-17 10:21:18.236,107,624,0.8945313,0.4570313,0.2265625
ACCEL,2011-03-17 10:21:18.256,107,625,0.8828125,0.4726563,0.2421875
ACCEL,2011-03-17 10:21:18.276,107,626,0.8164063,0.484375,0.2734375
ACCEL,2011-03-17 10:21:18.296,107,627,0.7578125,0.515625,0.2929688
ACCEL,2011-03-17 10:21:18.313,107,628,0.7539063,0.5429688,0.265625
ACCEL,2011-03-17 10:21:18.333,107,629,0.8242188,0.578125,0.1679688
ACCEL,2011-03-17 10:21:18.353,107,630,0.8789063,0.59375,0.1328125
ACCEL,2011-03-17 10:21:18.373,107,631,0.8515625,0.5859375,0.1796875
ACCEL,2011-03-17 10:21:18.393,107,632,1.105469,0.46875,0.3164063
ACCEL,2011-03-17 10:21:18.413,107,633,0.9296875,0.4648438,0.296875
ACCEL,2011-03-17 10:21:18.433,107,634,0.90625,0.484375,0.2617188
ACCEL,2011-03-17 10:21:18.453,107,635,0.9960938,0.5078125,0.2265625
ACCEL,2011-03-17 10:21:18.485,107,636,1.007813,0.4609375,0.2382813
ACCEL,2011-03-17 10:21:18.505,107,637,0.9570313,0.5664063,0.2109375
ACCEL,2011-03-17 10:21:18.525,107,638,0.8710938,0.5039063,0.1992188
ACCEL,2011-03-17 10:21:18.545,107,639,0.890625,0.3984375,0.2460938
ACCEL,2011-03-17 10:21:18.565,107,640,0.84375,0.3867188,0.265625
ACCEL,2011-03-17 10:21:18.585,107,641,0.8671875,0.4648438,0.1171875
ACCEL,2011-03-17 10:21:18.605,107,642,0.921875,0.4570313,0.203125
ACCEL,2011-03-17 10:21:18.625,107,643,0.9570313,0.4335938,0.1484375
ACCEL,2011-03-17 10:21:18.641,107,644,0.9335938,0.3671875,0.1875
ACCEL,2011-03-17 10:21:18.661,107,645,0.9648438,0.3828125,0.2421875
ACCEL,2011-03-17 10:21:18.681,107,646,1.039063,0.1757813,0.28125
ACCEL,2011-03-17 10:21:18.701,107,647,0.9609375,0.265625,0.3125
